Height	P1	P3	P15	P50	P85	P97	P99
108.6	14.822	15.373	16.494	18.027	19.759	21.340	22.244
108.7	14.848	15.400	16.524	18.061	19.798	21.384	22.290
108.8	14.875	15.428	16.555	18.095	19.837	21.427	22.336
108.9	14.901	15.455	16.585	18.130	19.876	21.471	22.383
109.0	14.927	15.483	16.616	18.164	19.915	21.514	22.429
109.1	14.954	15.511	16.646	18.199	19.955	21.558	22.475
109.2	14.980	15.539	16.677	18.234	19.994	21.602	22.522
109.3	15.007	15.567	16.708	18.269	20.034	21.646	22.568
109.4	15.033	15.595	16.739	18.304	20.074	21.691	22.615
109.5	15.060	15.623	16.770	18.339	20.113	21.735	22.662
109.6	15.087	15.651	16.801	18.374	20.153	21.779	22.709
109.7	15.114	15.679	16.832	18.409	20.193	21.824	22.757
109.8	15.141	15.708	16.863	18.445	20.234	21.869	22.804
109.9	15.167	15.736	16.894	18.480	20.274	21.914	22.852
110.0	15.195	15.764	16.926	18.516	20.314	21.958	22.899
110.1	15.222	15.793	16.958	18.551	20.355	22.003	22.947
110.2	15.249	15.822	16.989	18.587	20.395	22.049	22.995
110.3	15.276	15.850	17.021	18.623	20.436	22.094	23.042
110.4	15.303	15.879	17.052	18.659	20.477	22.140	23.091
110.5	15.331	15.908	17.084	18.695	20.518	22.185	23.139
110.6	15.358	15.937	17.116	18.731	20.559	22.230	23.187
110.7	15.386	15.966	17.148	18.767	20.600	22.276	23.236
110.8	15.414	15.995	17.180	18.803	20.641	22.322	23.284
110.9	15.441	16.024	17.212	18.840	20.682	22.368	23.333
111.0	15.469	16.053	17.244	18.876	20.724	22.414	23.382
111.1	15.496	16.082	17.276	18.912	20.765	22.461	23.431
111.2	15.524	16.111	17.309	18.949	20.807	22.507	23.480
111.3	15.552	16.141	17.341	18.986	20.848	22.553	23.529
111.4	15.580	16.170	17.373	19.022	20.890	22.600	23.579
111.5	15.608	16.199	17.406	19.059	20.932	22.646	23.628
111.6	15.636	16.229	17.438	19.096	20.974	22.693	23.677
111.7	15.664	16.258	17.471	19.133	21.016	22.740	23.727
111.8	15.692	16.288	17.504	19.170	21.058	22.786	23.776
111.9	15.720	16.317	17.536	19.207	21.100	22.833	23.826
112.0	15.748	16.347	17.569	19.244	21.142	22.880	23.876
112.1	15.777	16.377	17.602	19.281	21.184	22.927	23.926
112.2	15.805	16.407	17.635	19.318	21.227	22.975	23.976
112.3	15.833	16.436	17.668	19.356	21.269	23.022	24.026
112.4	15.862	16.466	17.701	19.393	21.312	23.069	24.076
112.5	15.890	16.496	17.734	19.430	21.354	23.117	24.127
112.6	15.919	16.526	17.767	19.468	21.397	23.164	24.177
112.7	15.947	16.556	17.800	19.506	21.440	23.212	24.227
112.8	15.976	16.586	17.833	19.543	21.483	23.260	24.278
112.9	16.004	16.616	17.866	19.581	21.525	23.307	24.329
113.0	16.033	16.647	17.900	19.618	21.568	23.355	24.379
113.1	16.062	16.677	17.933	19.656	21.611	23.403	24.430
113.2	16.090	16.707	17.966	19.694	21.654	23.451	24.481
113.3	16.119	16.737	18.000	19.732	21.698	23.499	24.532
113.4	16.148	16.768	18.033	19.770	21.741	23.547	24.583
113.5	16.177	16.798	18.067	19.808	21.784	23.596	24.634
113.6	16.206	16.828	18.100	19.846	21.827	23.644	24.686
113.7	16.235	16.859	18.134	19.884	21.871	23.692	24.737
113.8	16.264	16.890	18.168	19.922	21.914	23.741	24.788
113.9	16.293	16.920	18.202	19.961	21.958	23.789	24.840
114.0	16.322	16.951	18.235	19.999	22.001	23.838	24.892
114.1	16.351	16.981	18.269	20.037	22.045	23.887	24.943
114.2	16.380	17.012	18.303	20.076	22.089	23.935	24.995
114.3	16.409	17.043	18.337	20.114	22.132	23.984	25.046
114.4	16.438	17.073	18.371	20.153	22.176	24.033	25.099
114.5	16.468	17.104	18.405	20.191	22.220	24.082	25.150
114.6	16.497	17.135	18.439	20.230	22.264	24.131	25.202
114.7	16.526	17.166	18.473	20.268	22.308	24.180	25.254
114.8	16.556	17.197	18.507	20.307	22.352	24.229	25.306
114.9	16.585	17.227	18.541	20.346	22.396	24.279	25.359
115.0	16.614	17.258	18.575	20.385	22.441	24.328	25.411
115.1	16.644	17.289	18.610	20.423	22.485	24.377	25.463
115.2	16.673	17.320	18.644	20.462	22.529	24.426	25.515
115.3	16.703	17.351	18.678	20.501	22.573	24.476	25.568
115.4	16.732	17.383	18.712	20.540	22.617	24.525	25.620
115.5	16.761	17.413	18.747	20.579	22.662	24.575	25.673
115.6	16.791	17.445	18.781	20.618	22.706	24.625	25.726
115.7	16.820	17.476	18.815	20.657	22.751	24.674	25.778
115.8	16.850	17.507	18.850	20.696	22.795	24.724	25.831
115.9	16.880	17.538	18.884	20.735	22.840	24.773	25.884
116.0	16.909	17.569	18.919	20.774	22.884	24.823	25.936
116.1	16.939	17.600	18.953	20.813	22.929	24.873	25.989
116.2	16.968	17.631	18.988	20.852	22.974	24.923	26.043
116.3	16.998	17.663	19.022	20.892	23.018	24.973	26.096
116.4	17.028	17.694	19.057	20.931	23.063	25.023	26.148
116.5	17.057	17.725	19.091	20.970	23.108	25.073	26.201
116.6	17.087	17.756	19.126	21.009	23.153	25.123	26.254
116.7	17.117	17.788	19.160	21.049	23.197	25.173	26.308
116.8	17.146	17.819	19.195	21.088	23.242	25.223	26.361
116.9	17.176	17.850	19.229	21.127	23.287	25.273	26.414
117.0	17.206	17.881	19.264	21.167	23.332	25.324	26.468
117.1	17.235	17.913	19.299	21.206	23.377	25.374	26.521
117.2	17.265	17.944	19.333	21.245	23.422	25.424	26.574
117.3	17.295	17.976	19.368	21.285	23.467	25.474	26.627
117.4	17.325	18.007	19.403	21.324	23.512	25.524	26.681
117.5	17.354	18.038	19.437	21.364	23.557	25.575	26.735
117.6	17.384	18.069	19.472	21.403	23.602	25.625	26.788
117.7	17.414	18.101	19.507	21.443	23.647	25.676	26.842
117.8	17.444	18.132	19.542	21.482	23.692	25.726	26.895
117.9	17.473	18.164	19.576	21.522	23.737	25.777	26.949
118.0	17.503	18.195	19.611	21.561	23.783	25.827	27.002
118.1	17.533	18.226	19.646	21.601	23.828	25.878	27.057
118.2	17.562	18.258	19.681	21.640	23.873	25.928	27.110
118.3	17.592	18.289	19.715	21.680	23.918	25.979	27.164
118.4	17.622	18.320	19.750	21.719	23.963	26.030	27.218
118.5	17.652	18.352	19.785	21.759	24.009	26.080	27.271
118.6	17.681	18.383	19.820	21.798	24.054	26.131	27.326
118.7	17.711	18.414	19.854	21.838	24.099	26.182	27.379
118.8	17.741	18.446	19.889	21.878	24.145	26.232	27.433
118.9	17.771	18.477	19.924	21.917	24.190	26.283	27.487
119.0	17.801	18.509	19.959	21.957	24.235	26.334	27.541
119.1	17.830	18.540	19.994	21.996	24.280	26.384	27.595
119.2	17.860	18.571	20.028	22.036	24.326	26.436	27.649
119.3	17.890	18.603	20.063	22.076	24.371	26.486	27.703
119.4	17.919	18.634	20.098	22.115	24.417	26.537	27.757
119.5	17.949	18.665	20.133	22.155	24.462	26.588	27.811
119.6	17.979	18.697	20.167	22.194	24.507	26.639	27.865
119.7	18.008	18.728	20.202	22.234	24.553	26.690	27.920
119.8	18.038	18.759	20.237	22.274	24.598	26.741	27.974
119.9	18.068	18.791	20.272	22.313	24.644	26.792	28.028
120.0	18.098	18.822	20.306	22.353	24.689	26.842	28.082
